-24.7058,-26.0553,-26.5153,-26.7177,-26.823,-26.8879,-26.9306,-26.9609,-26.983
-24.7662,-26.5212,-26.9753,-27.1592,-27.2336,-27.2782,-27.3043,-27.3223,-27.335
-24.4461,-26.7217,-27.2154,-27.3881,-27.4387,-27.4674,-27.4809,-27.4902,-27.4962
-23.7295,-26.6864,-27.3014,-27.4817,-27.5248,-27.5448,-27.552,-27.5567,-27.5593
-22.5887,-26.4442,-27.2838,-27.501,-27.5548,-27.5724,-27.5777,-27.5804,-27.5817
-20.9803,-26.0131,-27.1877,-27.4809,-27.5606,-27.5806,-27.5865,-27.5884,-27.5892
-18.8426,-25.3925,-27.0144,-27.433,-27.5518,-27.5804,-27.5886,-27.5906,-27.5913
-16.0994,-24.5628,-26.7526,-27.3556,-27.529,-27.5749,-27.5874,-27.5907,-27.5916
-12.6661,-23.4903,-26.3873,-27.241,-27.4906,-27.5643,-27.5842,-27.59,-27.5914
-8.4609,-22.1319,-25.9041,-27.0782,-27.434,-27.5468,-27.5787,-27.5884,-27.591
-3.4091,-20.4407,-25.2877,-26.8545,-27.3546,-27.5194,-27.57,-27.5855,-27.5901
2.5496,-18.3675,-24.5193,-26.5569,-27.2456,-27.4788,-27.5563,-27.5808,-27.5886
9.4585,-15.8636,-23.5759,-26.1731,-27.0989,-27.4215,-27.5357,-27.5735,-27.5861
17.3425,-12.881,-22.4303,-25.6921,-26.9053,-27.3438,-27.5056,-27.5625,-27.582
26.2079,-9.3765,-21.0518,-25.1024,-26.6554,-27.241,-27.4633,-27.5463,-27.5758
36.0425,-5.3099,-19.4084,-24.3915,-26.3399,-27.1072,-27.4061,-27.5231,-27.5667
